lr = 0.008, hs = 400, mm = 0.92, ne = 9, acc_train = 0.87525826446281, acc_test = 0.7866735537190083
lr = 0.008, hs = 400, mm = 0.92, ne = 10, acc_train = 0.8921745867768595, acc_test = 0.7944214876033058
lr = 0.008, hs = 400, mm = 0.93, ne = 8, acc_train = 0.8684142561983471, acc_test = 0.7897727272727273
lr = 0.008, hs = 400, mm = 0.93, ne = 9, acc_train = 0.8992768595041323, acc_test = 0.8011363636363636
lr = 0.008, hs = 400, mm = 0.93, ne = 10, acc_train = 0.9074121900826446, acc_test = 0.818698347107438
lr = 0.008, hs = 400, mm = 0.9400000000000001, ne = 8, acc_train = 0.8709969008264463, acc_test = 0.7887396694214877
lr = 0.008, hs = 400, mm = 0.9400000000000001, ne = 9, acc_train = 0.8799070247933884, acc_test = 0.7923553719008265
lr = 0.008, hs = 400, mm = 0.9400000000000001, ne = 10, acc_train = 0.9019886363636364, acc_test = 0.8006198347107438
lr = 0.008, hs = 400, mm = 0.9500000000000001, ne = 8, acc_train = 0.8857179752066116, acc_test = 0.7995867768595041
lr = 0.008, hs = 400, mm = 0.9500000000000001, ne = 9, acc_train = 0.9123192148760331, acc_test = 0.8109504132231405
lr = 0.008, hs = 400, mm = 0.9500000000000001, ne = 10, acc_train = 0.9209710743801653, acc_test = 0.8212809917355371
lr = 0.008, hs = 400, mm = 0.9600000000000001, ne = 8, acc_train = 0.8886880165289256, acc_test = 0.7918388429752066
lr = 0.008, hs = 400, mm = 0.9600000000000001, ne = 9, acc_train = 0.9185175619834711, acc_test = 0.8119834710743802
lr = 0.008, hs = 400, mm = 0.9600000000000001, ne = 10, acc_train = 0.9253615702479339, acc_test = 0.8145661157024794
lr = 0.008, hs = 450, mm = 0.92, ne = 8, acc_train = 0.8664772727272727, acc_test = 0.7758264462809917
lr = 0.008, hs = 450, mm = 0.92, ne = 9, acc_train = 0.8932076446280992, acc_test = 0.8078512396694215
lr = 0.008, hs = 450, mm = 0.92, ne = 10, acc_train = 0.9001807851239669, acc_test = 0.8057851239669421
lr = 0.008, hs = 450, mm = 0.93, ne = 8, acc_train = 0.8730630165289256, acc_test = 0.7882231404958677
lr = 0.008, hs = 450, mm = 0.93, ne = 9, acc_train = 0.8884297520661157, acc_test = 0.8042355371900827
